sedol,citicode,full_description,ismininv_monthly,reg_saver,closed_fund,fund_name,aims,description,company_id,company_name,sector_id,sector_name,unit_type,full_description_with_unit_type,initial_charge,annual_charge,vantage_charge,net_annual_charge,initial_saving,annual_saving,holding_fee,loaded,linksedol_code,restrict_ot,payment_frequency,payment_type,Wealth150,trustee,assumed_growth,assumed_growth2,valuation_point,comment,tracker,yieldreduct,yieldreduct2,launch_price,launch_currency,num_holdings,icvc,sicav,plusfund,standard_amc,standard_ocf,total_expenses,charge_source,valuation_frequency,val_info,lsmininv,yield,kiid,kiid_url,running_yield,historic_yield,distribution_yield,underlying_yield,gross_yield,gross_running_yield,loyalty_bonus,reg_saver_min_inv,lump_sum_min_inv,renewal_commission,initial_commission,fund_size,risk_rating,other_expenses,cost_segment,update_time,ref_date,perf3m,perf6m,perf12m,perf36m,perf60m,perf120m,perf0t12m,perf12t24m,perf24t36m,perf36t48m,perf48t60m,perf3m_reinv,perf6m_reinv,perf12m_reinv,perf36m_reinv,perf60m_reinv,perf120m_reinv,perf0t12m_reinv,perf12t24m_reinv,perf24t36m_reinv,perf36t48m_reinv,perf48t60m_reinv,ter,is_unit_trust,is_oeic,isaable,sippable,unwrapable,launchdate,sales_only,bid_price,offer_price,price_change,percent_change,updated,investment_pathway
0433231,SL51,abrdn Global Infrastructure Equity (Inst Founder),0.00,0,0,abrdn Global Infrastructure Equity (Institutional Founde,"To generate growth and income over the long term (5 years or more) by investing in infrastructure related equities (company shares).

Performance Target: To achieve a return in excess of the S&P Global Infrastructure Net Total Return Index over a rolling five year period (after charges). There is no certainty or promise that the Performance Target will be achieved.

The S&P Global Infrastructure Net Total Return Index (the ""Index"") is a representative index of the global infrastructure related stock market.",Global Infrastructure Equity (Institutional Founde,8036,abrdn,48,Unclassified,Accumulation,abrdn Global Infrastructure Equity (Inst Founder) (Acc),0.00,0.85000,0.0000,0.60000,0.00,0.25000,0.000000,0,B779VF0,0,Quarterly,Dividend,0,0,0.00,0.00,12:00,,0,0.00,0.00,0.50,GBP,53,0,0,,0.0000,0.85000,0.60,N/a,Daily,,100.00,2.42,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=2f5a68ce-f15a-4510-8769-3f59c6288cc5&user=hl_website_documents,0.00,2.42,0.00,0.00,0.00,0.00,0.000,0.00,100.00,0.000,0.000,270.2,,0.100,6,2024-10-26 06:03:00,0000-00-00,4.0900,6.3800,20.2100,17.4100,41.2300,,20.2100,-2.8400,0.5200,17.5000,2.3700,,,,,,,,,,,,0.60,0,1,1,1,1,1986-05-01 00:00:00,N,453.2,453.2,-2.70,-0.59,2024-10-25,N
B0LD3X1,TP03,abrdn Global Real Estate (I),25.00,1,0,abrdn Global Real Estate (I),"To generate income and some growth over the long term (5 years or more) by investing in global commercial property markets.

Performance Target: To generate a return of 5% per annum over rolling three year periods, after charges. There is no certainty or promise that the Performance Target will be achieved.",Global Real Estate (I),8036,abrdn,108,Property,Accumulation,abrdn Global Real Estate (I) (Acc),0.00,0.99000,0.5000,0.99000,0.00,0.00000,2.000000,0,,0,Quarterly,Dividend,0,6,0.00,0.00,12:00,,0,0.00,0.00,0.50,GBP,29,0,0,N,0.0000,0.99000,0.99,N/a,Daily,,500000.00,2.51,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=60a62d0c-f738-4fb1-8ae2-63b12162cd9d&user=hl_website_documents,0.00,2.51,0.00,0.00,0.00,0.00,0.000,25.00,500000.00,0.000,0.000,383.3,,0.090,4,2024-10-26 06:03:02,0000-00-00,1.7800,2.3200,2.3800,0.7600,2.8700,,2.3800,-3.2600,1.7300,3.9500,-1.7800,,,,,,,,,,,,0.99,1,0,1,1,1,2005-10-13 00:00:00,N,70.50999999999999,70.50999999999999,-0.04,-0.06,2024-10-25,N
B0LD3Y2,TP04,abrdn Global Real Estate (I),25.00,1,0,abrdn Global Real Estate (I),"To generate income and some growth over the long term (5 years or more) by investing in global commercial property markets.

Performance Target: To generate a return of 5% per annum over rolling three year periods, after charges. There is no certainty or promise that the Performance Target will be achieved.",Global Real Estate (I),8036,abrdn,108,Property,Income,abrdn Global Real Estate (I) (Inc),0.00,0.99000,0.5000,0.99000,0.00,0.00000,2.000000,0,,0,Quarterly,Dividend,0,6,0.00,0.00,12:00,,0,0.00,0.00,0.50,GBP,29,0,0,N,0.0000,0.99000,0.99,N/a,Daily,,500000.00,2.51,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=fc1ba838-df95-40c3-87a8-a3ffcc370dab&user=hl_website_documents,0.00,2.51,0.00,0.00,0.00,0.00,0.000,25.00,500000.00,0.000,0.000,383.3,,0.090,4,2024-10-26 06:03:02,0000-00-00,1.4900,2.3300,2.3900,0.7800,2.6600,,2.3900,-3.2500,1.7300,3.9600,-2.0100,,,,,,,,,,,,0.99,1,0,1,1,1,2005-10-13 00:00:00,N,40.79,40.79,-0.03,-0.07,2024-10-25,N
BK5HLJ1,QJRU,abrdn Global REIT Tracker (N),25.00,1,0,abrdn Global REIT Tracker (N),"To generate growth over the long term (5 years or more) by tracking the return of the FTSE EPRA/NAREIT Developed Index (Hedged to GBP). 

Performance Target: To match the return of the FTSE EPRA/NAREIT Developed Index (Hedged to GBP) (before charges). There is no certainty or promise that the Performance Target will be achieved. 

The FTSE EPRA/NAREIT Developed Index (Hedged to GBP) (the ""Index"") is a representative index of property related companies listed on global developed stock markets.",Global REIT Tracker (N),8036,abrdn,108,Property,Accumulation,abrdn Global REIT Tracker (N) (Acc),0.00,0.16000,0.0000,0.11000,0.00,0.05000,0.000000,0,BK5HLG8,0,Bi-annually,Dividend,0,0,0.00,0.00,12:00,,0,0.00,0.00,0.00,GBP,0,0,0,,0.0000,0.16000,0.11,N/a,Daily,,100.00,2.66,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=85f0b9be-e3a2-482e-bb4d-331e2067722c&user=hl_website_documents,0.00,2.66,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,0.0,,0.060,1,2024-10-26 06:02:52,0000-00-00,7.7000,15.8500,30.4100,-3.9500,2.6900,,30.4100,-2.3500,-24.5800,36.2300,-21.5200,,,,,,,,,,,,0.11,0,1,1,1,1,2019-08-15 00:00:00,N,110.11999999999999,110.11999999999999,-0.26,-0.24,2024-10-25,N
BBX4652,JHCZ,abrdn Global Smaller Companies (S),25.00,1,0,abrdn Global Smaller Companies (S),"To generate growth over the long term (5 years or more) by investing in Global small-capitalisation equities (company shares).

Performance Target: To achieve the return of the MSCI AC Country World Small Cap Index, plus 3% per annum (before charges). There is no certainty or promise that the Performance Target will be achieved.

Performance Comparator: Investment Association Global Equity Sector Average.

The MSCI AC Country World Small Cap Index (the ""Index"") is a representative index of world stock markets of smaller companies.

The Investment Association Global Equity Sector (the ""Sector"") is a representative group of investment funds with a focus on global equities.",Global Smaller Companies (S),8036,abrdn,109,Global,Accumulation,abrdn Global Smaller Companies (S) (Acc),0.00,1.04000,0.0000,0.77000,0.00,0.27000,0.000000,0,B7KVX24,0,Annually,Dividend,1,6,0.00,0.00,12:00,,0,0.00,0.00,0.50,GBP,47,0,0,N,0.9000,1.04000,0.77,N/a,Daily,,100.00,0.41,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=c4b27c59-123a-436d-b50d-0a3ae43d3c31&user=hl_website_documents,0.00,0.41,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,908.7,6,0.120,2,2024-10-26 06:02:21,0000-00-00,0.2900,5.5800,20.7000,-19.4600,30.1300,,20.7000,-0.7800,-32.7500,25.0700,29.1900,,,,,,,,,,,,0.77,0,1,1,1,1,2012-01-19 00:00:00,,138.2,138.2,-0.70,-0.50,2024-10-25,N
0683382,MJ43,abrdn Global Sust & Resp Invst Equity (I),25.00,1,0,abrdn Global Sust & Resp Invst Equity (I),"To generate growth over the long term (5 years or more) by investing in global equities (company shares) which adhere to the abrdn Sustainable and Responsible Investment Equity Approach. 

Performance Target: To achieve the return of the MSCI AC World Index plus 3% per annum over rolling three year periods (before charges). The Performance Target is the level of performance that the management team hopes to achieve for the fund. There is no certainty or promise that the Performance Target will be achieved. 

The MSCI AC World Index (the ""Index"") is a representative index of world stock markets.",Global Sust & Resp Invst Equity (I),8036,abrdn,109,Global,Income,abrdn Global Sust & Resp Invst Equity (I) (Inc),0.00,0.84000,0.5000,0.79000,0.00,0.05000,2.000000,0,,0,Bi-annually,Dividend,0,6,0.00,6.00,12:00,,0,0.00,3.80,1.00,GBP,47,0,0,N,0.0000,0.84000,0.84,N/a,Daily,Your deal will be placed at the fund manager's next available valuation point,100.00,0.33,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=dae528c2-516a-42a5-83ff-8e6e34a51dba&user=hl_website_documents,0.00,0.33,0.00,0.00,0.00,0.00,0.050,25.00,100.00,0.050,0.000,145.5,,0.090,2,2024-10-26 06:02:30,0000-00-00,3.0800,1.4700,15.8600,2.1800,41.6800,,15.8600,5.2800,-16.2200,22.5500,13.1300,,,,,,,,,,,,0.84,0,1,1,1,1,1999-05-01 00:00:00,,296.26,296.26,-0.87,-0.29,2024-10-25,N
0683393,MJ42,abrdn Global Sust & Resp Invst Equity (I),25.00,1,0,abrdn Global Sust & Resp Invst Equity (I),"To generate growth over the long term (5 years or more) by investing in global equities (company shares) which adhere to the abrdn Sustainable and Responsible Investment Equity Approach. 

Performance Target: To achieve the return of the MSCI AC World Index plus 3% per annum over rolling three year periods (before charges). The Performance Target is the level of performance that the management team hopes to achieve for the fund. There is no certainty or promise that the Performance Target will be achieved. 

The MSCI AC World Index (the ""Index"") is a representative index of world stock markets.",Global Sust & Resp Invst Equity (I),8036,abrdn,109,Global,Accumulation,abrdn Global Sust & Resp Invst Equity (I) (Acc),0.00,0.84000,0.5000,0.79000,0.00,0.05000,2.000000,0,,0,Bi-annually,Dividend,0,6,0.00,6.00,12:00,,0,0.00,3.80,1.00,GBP,47,0,0,N,0.0000,0.84000,0.84,N/a,Daily,Your deal will be placed at the fund manager's next available valuation point,100.00,0.33,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=23b076e4-d08e-4775-b634-68fbe9feb802&user=hl_website_documents,0.00,0.33,0.00,0.00,0.00,0.00,0.050,25.00,100.00,0.050,0.000,145.5,,0.090,2,2024-10-26 06:02:30,0000-00-00,3.0900,1.4800,15.8600,2.2000,41.7100,,15.8600,5.2800,-16.2100,22.5500,13.1500,,,,,,,,,,,,0.84,0,1,1,1,1,1999-05-01 00:00:00,,430.87,430.87,-1.27,-0.29,2024-10-25,N
0093624,ST01,abrdn High Yield Bond (I),25.00,1,0,abrdn High Yield Bond (I),"To generate income and some growth over the long term (5 years or more) by investing in Sterling and Euro denominated sub-investment grade (high yield) corporate bonds.

Performance Target: To achieve the return of the ICE BofA GBP/Euro Fixed & Floating High Yield Non-Financial 3% Constrained Index (Hedged to GBP) plus 0.8% per annum over rolling three year periods (before charges).

There is no certainty or promise that the Performance Target will be achieved.

The ICE BofA GBP/Euro Fixed & Floating High Yield Non-Financial 3% Constrained (Hedged to GBP) Index ( the ""Index"") is a representative index of the market for high yield bonds in Europe which excludes financial institutions.",High Yield Bond (I),8036,abrdn,151,GBP High Yield,Accumulation,abrdn High Yield Bond (I) (Acc),0.00,0.74000,0.5000,0.69000,0.00,0.05000,2.000000,0,B79RR98,0,Quarterly,Interest,0,6,0.00,0.00,12:00,,0,0.00,0.00,1.00,GBP,159,0,0,N,0.0000,0.74000,0.69,N/a,Daily,,100.00,5.53,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=b7741caf-ff4e-4742-87d6-62ed7e0b6307&user=hl_website_documents,0.00,0.00,5.53,5.53,0.00,0.00,0.000,25.00,100.00,0.000,0.000,225.2,,0.090,3,2024-10-26 06:03:00,0000-00-00,2.9200,5.5100,13.7100,9.6200,20.8100,,13.7100,11.3200,-13.4000,8.5300,1.5400,,,,,,,,,,,,0.69,0,1,1,1,1,2000-02-07 00:00:00,N,180,180,0.00,0.00,2024-10-25,N
0093981,ST23,abrdn High Yield Bond (I),25.00,1,0,abrdn High Yield Bond (I),"To generate income and some growth over the long term (5 years or more) by investing in Sterling and Euro denominated sub-investment grade (high yield) corporate bonds.

Performance Target: To achieve the return of the ICE BofA GBP/Euro Fixed & Floating High Yield Non-Financial 3% Constrained Index (Hedged to GBP) plus 0.8% per annum over rolling three year periods (before charges).

There is no certainty or promise that the Performance Target will be achieved.

The ICE BofA GBP/Euro Fixed & Floating High Yield Non-Financial 3% Constrained (Hedged to GBP) Index ( the ""Index"") is a representative index of the market for high yield bonds in Europe which excludes financial institutions.",High Yield Bond (I),8036,abrdn,151,GBP High Yield,Income,abrdn High Yield Bond (I) (Inc),0.00,0.74000,0.5000,0.69000,0.00,0.05000,2.000000,0,B7G7DD7,0,Quarterly,Interest,0,6,0.00,0.00,12:00,,0,0.00,0.00,1.00,GBP,159,0,0,N,0.0000,0.74000,0.69,N/a,Daily,,100.00,5.53,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=f09f9d6f-c92d-4381-9cd0-e27a2093019c&user=hl_website_documents,0.00,0.00,5.53,5.53,0.00,0.00,0.000,25.00,100.00,0.000,0.000,225.2,,0.090,3,2024-10-26 06:03:00,0000-00-00,2.9000,5.5100,13.6900,9.6300,20.7800,,13.6900,11.3300,-13.3800,8.5100,1.5300,,,,,,,,,,,,0.69,0,1,1,1,1,2000-02-07 00:00:00,N,47.28,47.28,0.00,0.00,2024-10-25,N
B4VF5D9,GWRX,abrdn I Europe ex UK Sust and Responsible Inv (X),25.00,1,0,abrdn SICAV I Europe ex UK Sust and Responsible Inv (X),"The Fund aims to achieve a combination of growth and income by investing in companies in Europe (excluding the UK), which adhere to the abrdn Europe ex UK Sustainable Equity Investment Approach (the ""Investment Approach"").

The Fund aims to outperform the FTSE World Europe ex UK Index (EUR) benchmark before charges.",SICAV I Europe ex UK Sust and Responsible Inv (X),8036,abrdn,111,Europe Excluding UK,Accumulation,abrdn I Europe ex UK Sust and Responsible Inv (X) (Acc),0.00,0.91000,0.0000,0.91000,0.00,0.00000,0.000000,0,,0,N/a,Dividend,0,0,0.00,0.00,12:00,,0,0.00,0.00,0.00,EUR,27,0,1,N,0.0000,0.91000,0.91,N/a,Daily,,100.00,0.20,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=4a061829-cf4d-4786-8c0b-1fb53ad7516f&user=hl_website_documents,0.00,0.20,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,226.7,,0.160,4,2024-10-26 06:02:16,0000-00-00,0.0000,-4.4800,14.5600,-4.3400,29.9100,,14.5600,6.0700,-21.2700,19.0700,14.0600,,,,,,,,,,,,0.91,0,0,1,1,1,2006-03-28 00:00:00,,2516.31,2516.31,-13.50,-0.53,2024-10-25,N
BDFZ6T1,Q5G0,abrdn Japan Equity Enhanced Index (N),25.00,1,0,abrdn Japan Equity Enhanced Index (N),"To generate growth over the long term (5 years or more) by investing in Japanese equities (company shares).

Performance Target: To exceed the return of the MSCI Japan Index by 0.75% per annum over rolling three year periods (before charges).   There is no certainty or promise that the Performance Target will be achieved.

The MSCI Japan Index (the ""Index"") is a representative index of the Japanese stock market.",Japan Equity Enhanced Index (N),8036,abrdn,113,Japan,Accumulation,abrdn Japan Equity Enhanced Index (N) (Acc),0.00,0.26000,0.0000,0.16000,0.00,0.10000,0.000000,0,BRJL831,0,Bi-annually,Dividend,0,0,0.00,0.00,12:00,,0,0.00,0.00,10.00,GBP,167,0,0,,0.0000,0.26000,0.16,N/a,Daily,,100.00,1.96,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=f67589b7-0cb8-4520-ba67-3fdcc345f4c6&user=hl_website_documents,0.00,1.96,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,82.7,,0.060,1,2024-10-26 06:02:50,0000-00-00,-2.9000,-1.3900,10.6700,13.8800,23.0900,,10.6700,13.7800,-9.5700,9.6000,-1.3700,,,,,,,,,,,,0.16,0,1,1,1,1,2015-03-06 00:00:00,N,132.51,132.51,-1.19,-0.89,2024-10-25,N
BDFZ6X5,Q5FV,abrdn Japan Equity Tracker (N),25.00,1,0,abrdn Japan Equity Tracker (N),"To generate growth over the long term (5 years or more) by tracking the return of the MSCI Japan Index. 

Performance Target: To match the return of the MSCI Japan Index (before charges). There is no certainty or promise that the Performance Target will be achieved.

The MSCI Japan Index (the ""Index"") is a representative index of the Japanese stock market.",Japan Equity Tracker (N),8036,abrdn,113,Japan,Accumulation,abrdn Japan Equity Tracker (N) (Acc),0.00,0.14000,0.0000,0.09000,0.00,0.05000,0.000000,0,BGMK151,0,Bi-annually,Dividend,0,0,0.00,0.00,12:00,,0,0.00,0.00,1.00,GBP,239,0,0,,0.0000,0.14000,0.09,N/a,Daily,,100.00,1.83,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=b42f456d-390f-4ce0-98a9-812018dc0257&user=hl_website_documents,0.00,1.83,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,161.6,,0.040,1,2024-10-26 06:02:50,0000-00-00,-3.2300,-2.2700,9.7200,11.3300,26.3400,,9.7200,12.2800,-9.6300,10.6200,2.5900,,,,,,,,,,,,0.09,0,1,1,1,1,2019-02-26 00:00:00,N,136.03,136.03,-1.14,-0.83,2024-10-25,N
0452173,MJ50,abrdn Japanese Equity (I),25.00,1,0,abrdn Japanese Equity (I),"To generate growth over the long term (5 years or more) by investing in Japanese equities (company shares).

Performance Target: To achieve the return of the MSCI Japan Index, plus 3% per annum over rolling three year periods (before charges). There is no certainty or promise that the Performance Target will be achieved.

The MSCI Japan Index (the ""Index"") is a representative index of the Japanese stock market.",Japanese Equity (I),8036,abrdn,113,Japan,Accumulation,abrdn Japanese Equity (I) (Acc),0.00,0.87000,0.5000,0.82000,0.00,0.05000,2.000000,0,,0,Annually,Dividend,0,6,0.00,6.00,12:00,,0,0.00,3.80,0.50,GBP,54,0,0,N,0.0000,0.87000,0.87,N/a,Daily,Your deal will be placed at the fund manager's next available valuation point,100.00,0.71,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=30e763f6-3d11-4f75-b9fc-8d9e594bd66e&user=hl_website_documents,0.00,0.71,0.00,0.00,0.00,0.00,0.050,25.00,100.00,0.050,0.000,8727.0,,0.120,3,2024-10-26 06:02:30,0000-00-00,-2.6100,-1.3800,10.4900,-8.4100,11.9500,,10.4900,3.4400,-19.8600,7.5600,13.6400,,,,,,,,,,,,0.87,0,1,1,1,1,1992-08-11 00:00:00,,288.41999999999996,288.41999999999996,-2.86,-0.98,2024-10-25,N
B4R0SD9,GNON,abrdn Latin American Equity (I),25.00,1,0,abrdn Latin American Equity (I),"To generate growth over the long term (5 years or more) by investing in Latin American equities (company shares).

Performance Target: To achieve the return of the MSCI EM Latin America 10/40 Net Total Return Index plus 3% per annum over rolling three year periods (before charges). There is no however no certainty or promise that the Performance Target will be achieved.

The MSCI EM Latin America 10/40 Net Total Return Index (the ""Index"") is a representative index of the collective stock markets of Latin America.",Latin American Equity (I),8036,abrdn,133,Latin America,Accumulation,abrdn Latin American Equity (I) (Acc),0.00,1.13000,0.0000,0.50000,0.00,0.63000,0.000000,0,,0,Annually,Dividend,0,6,0.00,0.00,12:00,,0,0.00,0.00,1.00,GBP,34,0,0,,0.0000,1.13000,1.13,N/a,Daily,,100.00,4.53,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=9bb44328-81e5-4f21-a4d6-0c510c0f9428&user=hl_website_documents,0.00,4.53,0.00,0.00,0.00,0.00,0.630,25.00,100.00,0.630,0.000,65.3,7,0.130,6,2024-10-26 06:02:14,0000-00-00,-1.7500,-10.4500,-6.2600,16.1600,-16.2500,,-6.2600,-4.3900,29.6100,0.9500,-28.5800,,,,,,,,,,,,1.13,0,1,1,1,1,2011-01-18 00:00:00,,104.67,104.67,0.46,0.44,2024-10-25,N
BHZCQK1,Q1UT,abrdn MyFolio Index I (B),25.00,1,0,abrdn MyFolio Index I (B),"To generate growth over the long term (5 years or more) while being managed to a defined level of risk. The fund is part of the MyFolio Index range, which offers five funds with different expected combinations of investment risk and return. The fund is risk level I  , which aims to be the lowest risk fund in this range. 
Risk Target: The defined level of risk referred to above that the management team is targeting is within the range of 20-40% of world stock markets (represented by the MSCI World Index), over 10 years. There is no certainty or promise that this target will be achieved. The Risk Target has been chosen as it represents a risk range which is appropriate for the fund.
Performance Comparator: For comparison purposes, investors can compare the fund's long term performance to a basket of assets (before charges) with a risk profile at the lower range of the Risk Target stated above (i.e. 20% of world stock markets), which is considered appropriate given the investment policy and Risk Target of the fund. This basket is composed 5% FTSE-All Share Index, 15% MSCI World ex UK Index and 80% SONIA Index.",MyFolio Index I (B),8036,abrdn,157,Volatility Managed,Accumulation,abrdn MyFolio Index I (B) (Acc),0.00,0.20000,0.0000,0.20000,0.00,0.00000,0.000000,0,,0,Quarterly,Dividend,0,0,0.00,0.00,12:00,,0,0.00,0.00,10.00,GBP,15,0,0,,0.0000,0.20000,0.20,N/a,Daily,,100.00,3.08,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=c1dc919c-66b3-4702-b7da-6201d446e3b2&user=hl_website_documents,0.00,3.08,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,9.8,,0.000,1,2024-10-26 06:02:49,0000-00-00,2.3400,4.7100,11.8400,2.9900,11.3300,,11.8400,3.4800,-11.0100,5.9700,2.0000,,,,,,,,,,,,0.20,0,1,1,1,1,2019-03-25 00:00:00,N,57.79,57.79,-0.05,-0.09,2024-10-25,N
BHZCQP6,Q1UX,abrdn MyFolio Index II (B),25.00,1,0,abrdn MyFolio Index II (B),"To generate growth over the long term (5 years or more) while being managed to a defined level of risk. The fund is part of the MyFolio Index range, which offers five funds with different expected combinations of investment risk and return. The fund is risk level II, which aims to be the second lowest risk fund in this range.
Risk Target: The defined level of risk referred to above that the management team is targeting is within the range of 35-55% of world stock markets (represented by the MSCI World Index), over 10 years. There is no certainty or promise that this target will be achieved. The Risk Target has been chosen as it represents a risk range which is appropriate for the fund.
Performance Comparator: For comparison purposes, investors can compare the fund's long term performance to a basket of assets (before charges) with a risk profile at the lower range of the Risk Target stated above (i.e. 35% of world stock markets), which is considered appropriate given the investment policy and Risk Target of the fund. This basket is composed 10% FTSE-All Share Index, 25% MSCI World ex UK Index and 65% SONIA Index.",MyFolio Index II (B),8036,abrdn,157,Volatility Managed,Accumulation,abrdn MyFolio Index II (B) (Acc),0.00,0.20000,0.0000,0.20000,0.00,0.00000,0.000000,0,BHZCQQ7,0,Quarterly,Dividend,0,0,0.00,0.00,12:00,,0,0.00,0.00,0.50,GBP,16,0,0,,0.0000,0.20000,0.20,N/a,Daily,,100.00,2.58,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=449d74eb-1c03-48b5-8548-a3e433bdea23&user=hl_website_documents,0.00,2.58,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,461.2,,0.000,1,2024-10-26 06:02:49,0000-00-00,2.7100,4.9800,13.8300,5.8800,17.5400,,13.8300,4.1600,-10.7100,9.8400,1.0700,,,,,,,,,,,,0.20,0,1,1,1,1,2019-03-25 00:00:00,N,61.8,61.8,-0.08,-0.13,2024-10-25,N
BHZCQT0,Q1V1,abrdn MyFolio Index III (B),25.00,1,0,abrdn MyFolio Index III (B),"To generate growth over the long term (5 years or more) while being managed to a defined level of risk. The fund is part of the MyFolio Index range, which offers five funds with different expected combinations of investment risk and return. The fund is risk level III, which aims to be the middle risk fund in this range.

Risk Target: The defined level of risk referred to above that the management team is targeting is within the range of 45-75% of world stock markets (represented by the MSCI World Index), over 10 years. There is no certainty or promise that this target will be achieved. The Risk Target has been chosen as it represents a risk range which is appropriate for the fund.

Performance Comparator: For comparison purposes, investors can compare the fund's long term performance to a basket of assets (before charges) with a risk profile at the lower range of the Risk Target stated above (i.e. 45% of world stock markets), which is considered appropriate given the investment policy and Risk Target of the fund. This basket is composed 15% FTSE All-Share Index, 30% MSCI World ex UK Index and 55% SONIA Index.",MyFolio Index III (B),8036,abrdn,157,Volatility Managed,Accumulation,abrdn MyFolio Index III (B) (Acc),0.00,0.20000,0.0000,0.20000,0.00,0.00000,0.000000,0,,0,Quarterly,Dividend,0,0,0.00,0.00,12:00,,0,0.00,0.00,10.00,GBP,16,0,0,,0.0000,0.20000,0.20,N/a,Daily,,100.00,2.57,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=900d7093-7c1b-4344-b8f7-6b7f32afc17e&user=hl_website_documents,0.00,2.57,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,1947.3,,0.000,1,2024-10-26 06:02:49,0000-00-00,3.3700,5.5400,16.1600,11.3500,27.1000,,16.1600,5.8500,-9.4400,14.4000,-0.2300,,,,,,,,,,,,0.20,0,1,1,1,1,2019-03-25 00:00:00,N,67.49000000000001,67.49000000000001,-0.11,-0.16,2024-10-25,N
BHZCQY5,Q1V5,abrdn MyFolio Index IV (B),25.00,1,0,abrdn MyFolio Index IV (B),"To generate growth over the long term (5 years or more) while being managed to a defined level of risk. The fund is part of the MyFolio Index range, which offers five funds with different expected combinations of investment risk and return. This fund is risk level IV, which aims to be the second highest risk fund in this range.

Risk Target: The defined level of risk referred to above that the management team is targeting is within the range of 60-90% of world stock markets (represented by the MSCI World Index), over 10 years. There is no certainty or promise that this target will be achieved. The Risk Target has been chosen as it represents a risk range which is appropriate for the fund.

Performance Comparator: For comparison purposes, investors can compare the fund's long term performance to a basket of assets (before charges) with a risk profile at the lower range of the Risk Target stated above (i.e. 60% of world stock markets), which is considered appropriate given the investment policy and Risk Target of the fund. This basket is composed 20% FTSE All-Share Index, 40% MSCI World ex UK Index and 40% SONIA Index.",MyFolio Index IV (B),8036,abrdn,157,Volatility Managed,Accumulation,abrdn MyFolio Index IV (B) (Acc),0.00,0.20000,0.0000,0.20000,0.00,0.00000,0.000000,0,,0,Quarterly,Dividend,0,0,0.00,0.00,12:00,,0,0.00,0.00,10.00,GBP,15,0,0,,0.0000,0.20000,0.20,N/a,Daily,,100.00,2.50,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=fd27ce8e-9f26-4e38-baee-25378fa59e9a&user=hl_website_documents,0.00,2.50,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,752.5,,0.000,1,2024-10-26 06:02:49,0000-00-00,3.7000,5.8200,17.8000,15.6900,35.3900,,17.8000,6.9500,-8.1700,18.1100,-0.9200,,,,,,,,,,,,0.20,0,1,1,1,1,2019-03-25 00:00:00,N,72.35000000000001,72.35000000000001,-0.14,-0.19,2024-10-25,N
